,request_type,starting_time,ending_time,duration,data_size,mtu_size,conn_interval,data,read_requests,read_responses,notifies
422,WRITE_COMMAND Rcvd,2021-06-07 15:06:22.104092,2021-06-07 15:06:22.109582,5490,256,64,64,Data Size 256nopqrstuvwxyzabcdefghijData Size 256nopqrstuvwxyzabcdefghijjklmnopqrstuvwxyzabcdefghijklmnopqrsjklmnopqrstuvwxyzabcdefghijklmnopqrsstuvwxyzabcdefghijklmnopqrstuvwxyzabstuvwxyzabcdefghijklmnopqrstuvwxyzabbcdefghijklmnopqrstuvwxyzabcdefghijkbcdefghijklmnopqrstuvwxyzabcdefghijkklmnopqrstuvklmnopqrstuv,0,0,10
423,WRITE_COMMAND Req,2021-06-07 15:06:22.748967,2021-06-07 15:06:22.748967,0,256,64,64,,0,0,0
424,WRITE_COMMAND Req,2021-06-07 15:06:22.748967,2021-06-07 15:06:22.904241,155274,256,64,64,,0,0,0
425,WRITE_COMMAND Rcvd,2021-06-07 15:06:22.904241,2021-06-07 15:06:22.915939,11698,256,64,64,Data Size 256nopqrstuvwxyzabcdefghijData Size 256nopqrstuvwxyzabcdefghijjklmnopqrstuvwxyzabcdefghijklmnopqrsjklmnopqrstuvwxyzabcdefghijklmnopqrsstuvwxyzabcdefghijklmnopqrstuvwxyzabstuvwxyzabcdefghijklmnopqrstuvwxyzabbcdefghijklmnopqrstuvwxyzabcdefghijkbcdefghijklmnopqrstuvwxyzabcdefghijkklmnopqrstuvklmnopqrstuv,0,0,10
426,WRITE_COMMAND Req,2021-06-07 15:06:23.619963,2021-06-07 15:06:23.619963,0,256,64,64,,0,0,0
427,WRITE_COMMAND Req,2021-06-07 15:06:23.619963,2021-06-07 15:06:23.704189,84226,256,64,64,,0,0,0
428,WRITE_COMMAND Rcvd,2021-06-07 15:06:23.704189,2021-06-07 15:06:23.711371,7182,256,64,64,Data Size 256nopqrstuvwxyzabcdefghijData Size 256nopqrstuvwxyzabcdefghijjklmnopqrstuvwxyzabcdefghijklmnopqrsjklmnopqrstuvwxyzabcdefghijklmnopqrsstuvwxyzabcdefghijklmnopqrstuvwxyzabstuvwxyzabcdefghijklmnopqrstuvwxyzabbcdefghijklmnopqrstuvwxyzabcdefghijkbcdefghijklmnopqrstuvwxyzabcdefghijkklmnopqrstuvklmnopqrstuv,0,0,10
429,WRITE_COMMAND Req,2021-06-07 15:06:27.717518,2021-06-07 15:06:27.717518,0,512,64,64,,0,0,0
430,WRITE_COMMAND Req,2021-06-07 15:06:27.717518,2021-06-07 15:06:27.864076,146558,512,64,64,,0,0,0
431,WRITE_COMMAND Rcvd,2021-06-07 15:06:27.864076,2021-06-07 15:06:27.947061,82985,512,64,64,Data Size 512nopqrstuvwxyzabcdefghijData Size 512nopqrstuvwxyzabcdefghijjklmnopqrstuvwxyzabcdefghijklmnopqrsjklmnopqrstuvwxyzabcdefghijklmnopqrsstuvwxyzabcdefghijklmnopqrstuvwxyzabstuvwxyzabcdefghijklmnopqrstuvwxyzabbcdefghijklmnopqrstuvwxyzabcdefghijkbcdefghijklmnopqrstuvwxyzabcdefghijkklmnopqrstuvwxyzabcdefghijklmnopqrstklmnopqrstuvwxyzabcdefghijklmnopqrsttuvwxyzabcdefghijklmnopqrstuvwxyzabctuvwxyzabcdefghijklmnopqrstuvwxyzabccdefghijklmnopqrstuvwxyzabcdefghijklcdefghijklmnopqrstuvwxyzabcdefghijkllmnopqrstuvwxyzabcdefghijklmnopqrstulmnopqrstuvwxyzabcdefghijklmnopqrstuuvwxyzabcdefghijklmnopqruvwxyzabcdefghijklmnopqr,0,0,18
432,WRITE_COMMAND Req,2021-06-07 15:06:28.635595,2021-06-07 15:06:28.635595,0,512,64,64,,0,0,0
433,WRITE_COMMAND Req,2021-06-07 15:06:28.635595,2021-06-07 15:06:28.744279,108684,512,64,64,,0,0,0
434,WRITE_COMMAND Rcvd,2021-06-07 15:06:28.744279,2021-06-07 15:06:28.827645,83366,512,64,64,Data Size 512nopqrstuvwxyzabcdefghijData Size 512nopqrstuvwxyzabcdefghijjklmnopqrstuvwxyzabcdefghijklmnopqrsjklmnopqrstuvwxyzabcdefghijklmnopqrsstuvwxyzabcdefghijklmnopqrstuvwxyzabstuvwxyzabcdefghijklmnopqrstuvwxyzabbcdefghijklmnopqrstuvwxyzabcdefghijkbcdefghijklmnopqrstuvwxyzabcdefghijkklmnopqrstuvwxyzabcdefghijklmnopqrstklmnopqrstuvwxyzabcdefghijklmnopqrsttuvwxyzabcdefghijklmnopqrstuvwxyzabctuvwxyzabcdefghijklmnopqrstuvwxyzabccdefghijklmnopqrstuvwxyzabcdefghijklcdefghijklmnopqrstuvwxyzabcdefghijkllmnopqrstuvwxyzabcdefghijklmnopqrstulmnopqrstuvwxyzabcdefghijklmnopqrstuuvwxyzabcdefghijklmnopqruvwxyzabcdefghijklmnopqr,0,0,18
435,WRITE_COMMAND Req,2021-06-07 15:06:29.655077,2021-06-07 15:06:29.655077,0,512,64,64,,0,0,0
436,WRITE_COMMAND Req,2021-06-07 15:06:29.655077,2021-06-07 15:06:29.784374,129297,512,64,64,,0,0,0
437,WRITE_COMMAND Rcvd,2021-06-07 15:06:29.784374,2021-06-07 15:06:29.866788,82414,512,64,64,Data Size 512nopqrstuvwxyzabcdefghijData Size 512nopqrstuvwxyzabcdefghijjklmnopqrstuvwxyzabcdefghijklmnopqrsjklmnopqrstuvwxyzabcdefghijklmnopqrsstuvwxyzabcdefghijklmnopqrstuvwxyzabstuvwxyzabcdefghijklmnopqrstuvwxyzabbcdefghijklmnopqrstuvwxyzabcdefghijkbcdefghijklmnopqrstuvwxyzabcdefghijkklmnopqrstuvwxyzabcdefghijklmnopqrstklmnopqrstuvwxyzabcdefghijklmnopqrsttuvwxyzabcdefghijklmnopqrstuvwxyzabctuvwxyzabcdefghijklmnopqrstuvwxyzabccdefghijklmnopqrstuvwxyzabcdefghijklcdefghijklmnopqrstuvwxyzabcdefghijkllmnopqrstuvwxyzabcdefghijklmnopqrstulmnopqrstuvwxyzabcdefghijklmnopqrstuuvwxyzabcdefghijklmnopqruvwxyzabcdefghijklmnopqr,0,0,18
438,WRITE_COMMAND Req,2021-06-07 15:06:38.973236,2021-06-07 15:06:38.973236,0,20,128,64,,0,0,0
439,WRITE_COMMAND Req,2021-06-07 15:06:38.973236,2021-06-07 15:06:39.064171,90935,20,128,64,,0,0,0
440,WRITE_COMMAND Rcvd,2021-06-07 15:06:39.064171,2021-06-07 15:06:39.065192,1021,20,128,64,Data Size 20mnopqrstData Size 20mnopqrst,0,0,2
441,WRITE_COMMAND Req,2021-06-07 15:06:39.831260,2021-06-07 15:06:39.831260,0,20,128,64,,0,0,0
442,WRITE_COMMAND Req,2021-06-07 15:06:39.831260,2021-06-07 15:06:39.944509,113249,20,128,64,,0,0,0
443,WRITE_COMMAND Rcvd,2021-06-07 15:06:39.944509,2021-06-07 15:06:39.945388,879,20,128,64,Data Size 20mnopqrstData Size 20mnopqrst,0,0,2
444,WRITE_COMMAND Req,2021-06-07 15:06:40.402119,2021-06-07 15:06:40.402119,0,20,128,64,,0,0,0
445,WRITE_COMMAND Req,2021-06-07 15:06:40.402119,2021-06-07 15:06:40.504159,102040,20,128,64,,0,0,0
446,WRITE_COMMAND Rcvd,2021-06-07 15:06:40.504159,2021-06-07 15:06:40.505481,1322,20,128,64,Data Size 20mnopqrstData Size 20mnopqrst,0,0,2
447,WRITE_COMMAND Req,2021-06-07 15:06:43.637809,2021-06-07 15:06:43.637809,0,32,128,64,,0,0,0
448,WRITE_COMMAND Req,2021-06-07 15:06:43.637809,2021-06-07 15:06:43.785390,147581,32,128,64,,0,0,0
449,WRITE_COMMAND Rcvd,2021-06-07 15:06:43.785390,2021-06-07 15:06:43.865560,80170,32,128,64,Data Size 32mnopqrstuvwxyzabcdefData Size 32mnopqrstuvwxyzabcdef,0,0,2
450,WRITE_COMMAND Req,2021-06-07 15:06:44.367668,2021-06-07 15:06:44.367668,0,32,128,64,,0,0,0
451,WRITE_COMMAND Req,2021-06-07 15:06:44.367668,2021-06-07 15:06:44.504149,136481,32,128,64,,0,0,0
452,WRITE_COMMAND Rcvd,2021-06-07 15:06:44.504149,2021-06-07 15:06:44.506120,1971,32,128,64,Data Size 32mnopqrstuvwxyzabcdefData Size 32mnopqrstuvwxyzabcdef,0,0,2
453,WRITE_COMMAND Req,2021-06-07 15:06:44.939981,2021-06-07 15:06:44.939981,0,32,128,64,,0,0,0
454,WRITE_COMMAND Req,2021-06-07 15:06:44.939981,2021-06-07 15:06:45.064455,124474,32,128,64,,0,0,0
